sample	treatment	nipbl	dnmt3a	mecp2
1	low	0.170283431	0.351802084	NA
2	controle	0.130121507	0.312346011	0.53076822
3	controle	1.437163072	0.850865256	NA
4	controle	0.132123786	0.247495892	0.514501271
5	low	0.106277101	0.247313125	0.575420302
6	low	0.110312168	0.294064428	0.499860153
7	high	0.221434253	0.288592817	0.494198612
8	low	0.112209015	0.248653742	0.426685897
9	controle	0.087871087	0.166425454	0.30759152
10	high	0.097065872	0.189906092	0.480595465
11	high	0.114146644	0.353239312	0.289882323
12	high	NA	NA	0.43213051
13	low	0.143752289	0.47823458	0.840618032
14	contrôle	NA	NA	NA
15	controle	NA	0.277295149	NA
16	high	0.088205664	0.168805662	0.267922434
17	low	0.120690803	0.140078157	0.256941531
18	controle	0.150839321	0.336739373	0.065123539
19	high	0.165190466	0.551859616	NA
20	low	NA	NA	NA
21	low	0.102204521	0.331473047	0.55088881
22	controle	NA	0.458288725	0.627612104
23	controle	0.116772731	0.355037365	0.514561934
24	high	0.130514393	0.241263971	0.404834148
25	controle	0.904037558	1.357988082	NA
26	low	0.117956239	0.242654329	0.30684071
27	controle	0.105529466	0.25096434	0.322377929
28	controle	NA	NA	NA
29	low	7.218167372	NA	0.007227702
30	low	NA	NA	NA
31	controle	NA	NA	NA
32	controle	0.072844834	0.141487789	0.149693746
33	controle	0.086225315	0.146089865	0.229489061
34	controle	0.10223624	0.26271527	0.253064408
35	low	0.133735821	0.50853682	0.575395389
36	low	0.088835945	0.299867876	0.252887366
37	low	0.13211333	0.392247168	0.543577554
38	low	0.1225552	0.459030676	0.518711792
39	controle	NA	NA	NA
