num;fish;treatment;length;total_relative_distance;cumulative_duration_intern;latency_to_first_intern;cumulative_duration_extern;latency_to_first_extern;cumulative_time_shelter;repetition;out_shelter
1;5C1;low;1.83;679.135;155.28;224.08;608.12;199.48;1036.6;one;1
2;1A5;low;1.747;597.912;34.28;1004.84;292.64;914.44;1473.08;one;1
3;7A2;control;1.747;174.756;129.88;838.76;840.68;805.2;829.44;one;1
4;7A3;control;1.745;1061.485;173.72;170.8;1039;152.52;587.28;one;1
5;7C1;control;1.658;705.664;236.96;497.68;833.24;7.24;729.8;one;1
6;8A4;control;2.065;536.192;57.48;397.88;627.04;323.32;1115.48;one;1
7;8A5;low;1.754;423.221;60.88;389.76;233.56;373.64;1505.56;one;1
8;8A6;low;1.782;1823.672;193.32;194.84;783.2;187.52;823.48;one;1
9;12B3;high;1.985;369.321;5.12;1288.32;7.44;1281.56;1787.44;one;1
10;12B4;low;1.792;2088.462;162.32;210.2;502.68;191.72;1135;one;1
11;12C4;control;1.84;3868.74;223.16;86.2;688.92;84.32;887.92;one;1
12;1A6;control;1.728;554.544;554.64;99.44;722.96;52.96;522.4;one;1
13;1C4;control;1.774;1410.094;230.44;167.04;673.28;93.08;896.28;one;1
14;2D2;low;1.774;305.049;36.84;931.64;190.68;925.44;1572.48;one;1
15;2D5;low;1.768;638.872;33.48;211.24;416.2;205.16;1350.32;one;1
16;3C5;low;1.803;2320.973;309.08;465.8;831;463.72;659.92;one;1
17;10A5;control;1.788;708.341;115.48;213.88;516.2;147.72;1168.32;one;1
18;10C4;control;1.714;2672.864;144.48;177;794.52;72.6;861;one;1
19;10C5;control;1.856;438.545;201.32;37.2;534.2;0;1064.48;one;1
20;10C6;low;1.774;4198.144;298.8;129.88;1249.16;119.56;252.04;one;1
21;10D2;low;1.774;206.006;49.64;730.32;134.68;541;1615.68;one;1
22;11A3;low;1.96;336.825;21.12;629.76;194.6;502.04;1584.28;one;1
23;11A5;low;2.005;2281.185;171.28;212.12;610.52;177.56;1018.2;one;1
24;11A4;high;1.699;457.762;610.72;228.36;498.76;103.44;690.52;one;1
25;7B6;control;1.885;602.373;149.84;275.6;581.32;134.12;1068.84;one;1
26;12A3;high;1.842;506.0688;106;367;458.96;366.84;1235.04;one;1
27;10A2;low;1.913;508.782;57.84;487.32;541.28;338.04;1200.88;one;1
28;12B6;control;1.908;626.178;94.4;964.52;283.16;14.24;1422.44;one;1
29;12C3;low;2.016;461.227;51.08;507.8;569.76;353;1179.16;one;1
30;11D2;control;1.753;274.215;47.16;784.88;173.32;357.36;1579.52;one;1
31;9A5;control;1.924;3456.834;279.92;194.16;831.32;191.04;688.76;one;1
33;11B1;high;2.067;165.357;29.12;801.24;141.12;796.36;1629.76;one;1
34;11B6;high;1.875;1413.215;159.96;145.72;803.04;47.32;837;one;1
35;12B1;high;1.957;463.449;94.52;528.68;286.4;424.2;1419.08;one;1
36;10B4;control;1.958;1.958;0;1800;0;1800;1800;one;0
37;5C1;low;2.021;414.001;19.72;227.12;389.28;212.12;1391;two;1
38;1A5;low;1.842;491.431;0.8;24.96;7.68;13.92;1791.52;two;1
39;7A2;control;1.783;150.62;0;1800;44.64;229.4;1755.36;two;1
40;7A3;control;1.836;378.413;20.12;166.12;249.96;120.92;1529.92;two;1
41;7C1;control;1.866;277.528;25.8;828.48;118.84;151.24;1655.36;two;1
42;8A4;control;2.142;38.738;0;1800;39.36;1042.45;1760.64;two;1
43;8A5;low;1.815;36.6877;2.8;870.52;13.88;862.56;1783.32;two;1
44;8A6;low;1.881;626.575;77.72;1173.96;294.68;1156.44;1427.6;two;1
45;12B3;high;1.989;11.875;0;1800;7.28;1294.36;1792.72;two;1
46;12B4;low;1.926;3135.77;43.92;1800;513.16;7.44;1242.92;two;1
47;12C4;control;1.957;322.49;58.24;172.68;359.28;37.08;1382.48;two;1
48;1A6;control;1.84;952.164;241.32;103.12;742.68;83.76;816;two;1
49;1C4;control;1.923;1442.62;139;187;386.4;184.52;1274.6;two;1
50;2D2;low;1.89;65.7099;13.32;715.76;103.36;536.84;1683.32;two;1
51;2D5;low;1.947;227.7022;8.28;566.12;152.84;561.36;1638.88;two;1
52;3C5;low;1.936;762.818;53.32;204.24;913.24;183.64;833.44;two;1
53;10A5;control;1.963;172.517;43.48;1555.24;80.88;1397.64;1675.64;two;1
54;10C4;control;1.776;361.932;93.2;806.96;535.44;802.32;1171.36;two;1
55;10C5;control;1.977;69.4329;15.04;125.72;104.36;89.68;1680.6;two;1
