fish	treatment	death	age_death	age_death
7A2	control	0	140	140
7A3	control	0	140	140
7C1	control	0	140	140
8A4	control	0	140	140
12C4	control	0	140	140
1A6	control	0	140	140
1C4	control	0	140	140
2A4	control	0	140	140
10A5	control	0	140	140
10C4	control	0	140	140
10C5	control	0	140	140
7B6	control	0	140	140
12B6	control	0	140	140
11D2	control	0	140	140
9A5	control	0	140	140
10B4	control	0	140	140
12B3	high	0	140	138
11A4	high	0	140	138
12A3	high	0	140	138
11B1	high	0	140	138
11B6	high	0	140	138
12B1	high	0	140	138
11D1	high	1	105	105
12B2	high	1	120	120
10B2	high	1	117	117
10A6	high	1	91	91
5C1	low	0	140	136
1A5	low	0	140	136
8A5	low	0	140	136
8A6	low	0	140	136
12B4	low	0	140	136
2D2	low	0	140	136
2D5	low	0	140	136
3C5	low	0	140	136
10C6	low	0	140	136
10D2	low	0	140	136
11A3	low	0	140	136
11A5	low	0	140	136
10A2	low	0	140	136
12C3	low	0	140	136
